"X" "Pressure" "Temperature" "Density" "Velocity" "H2" "H" "O" "O2" "OH" "H2O" "HO2" "CH" "CH2" "CH2(S)" "CH3" "CH4" "CO" "CO2" "HCO" "CH2O" "CH3O" "C2H2" "C2H3" "C2H4" "HCCO" "CH2CO" "CH3CO" "N2" 
3.0680422724380254e-06 591578.1073208392 1695.425300789613 1.2418140427627788 1659.591879264165 1.0475935134828636e-10 4.329021792826695e-10 1.9931195326523323e-09 0.4268478854590563 6.836153921079293e-10 9.664467376111899e-11 2.9121347388976695e-08 3.425755796490295e-15 7.949617638243579e-11 1.837050464600701e-12 3.6723194436288183e-10 2.360579126722758e-13 3.2059155827668354e-09 5.539455240944268e-11 8.72464712251054e-10 2.9227417091299273e-09 4.324059536790179e-14 2.7287312610458638e-09 2.0551757692865023e-08 0.09979613570336796 2.1996170482422976e-10 5.115984195083882e-09 2.6658458357713674e-11 0.4733559102567295
3.1480882957061955e-06 591578.107595368 1695.4252957705044 1.2418140462701965 1659.5918800543545 1.1081129368238202e-10 4.4811663377935366e-10 2.082530214851639e-09 0.4268478842414326 7.222564961682589e-10 1.0479332840207424e-10 2.993153532511753e-08 3.604444344434736e-15 8.477799551428855e-11 1.9743393473218746e-12 3.94680460378086e-10 2.604943398680396e-13 3.3836598936795686e-09 6.032743752224939e-11 9.081381338588141e-10 3.068336216498484e-09 4.735769007585776e-14 2.8583107445345344e-09 2.093677006250972e-08 0.09979613478772745 2.2991893949837017e-10 5.358927460742361e-09 2.793402752144596e-11 0.4733559102567295
3.2281343187490764e-06 591578.1078679663 1695.4252907650036 1.2418140497529473 1659.5918808389865 1.1705177766161655e-10 4.6345443046610436e-10 2.173210485945047e-09 0.42684788301134946 7.62008002202339e-10 1.1339822148496097e-10 3.074481432085263e-08 3.786673960458601e-15 9.023937230650317e-11 2.11711243807762e-12 4.233567457766223e-10 2.8672308237988694e-13 3.5664385505447045e-09 6.555282269286911e-11 9.441586427453454e-10 3.2171141433719928e-09 5.1733575044024223e-14 2.990279033299057e-09 2.131660156974004e-08 0.09979613386618634 2.4002441585629244e-10 5.6063494046423316e-09 2.922345253984803e-11 0.4733559102567295
3.4251501056286945e-06 591578.1085306318 1695.425278504825 1.2418140582192503 1659.591882746368 1.3322205732283507e-10 5.017015389998886e-10 2.4015552364920503e-09 0.4268478799309097 8.645719044390669e-10 1.3661636370809154e-10 3.2759862489854955e-08 4.249719611531218e-15 1.0444049319443487e-10 2.4918443908058977e-12 4.992938661383426e-10 3.594990953983594e-13 4.037829908980233e-09 7.972262531919105e-11 1.034203193270232e-09 3.596727393576461e-09 6.366224110796022e-14 3.3250349698765537e-09 2.2230434494461198e-08 0.09979613157230671 2.655018130518332e-10 6.233969630214846e-09 3.244690577359956e-11 0.4733559102567295
3.6221658911771195e-06 591578.1091814565 1695.425266332212 1.2418140665342734 1659.5918846196673 1.5055553422214862e-10 5.406157228877433e-10 2.636888037137249e-09 0.426847876775585 9.73841429167682e-10 1.6287022019162143e-10 3.479411326580922e-08 4.732668507547608e-15 1.1971141749211604e-10 2.899633659444473e-12 5.830098180858757e-10 4.4481706799774506e-13 4.539910956164545e-09 9.584164885836587e-11 1.1261021122650916e-09 3.995262021015221e-09 7.731666284553645e-14 3.6736215689109896e-09 2.3115749286029334e-08 0.0997961292410803 2.9180363717710424e-10 6.8875204179746905e-09 3.576170811383546e-11 0.4733559102567295
3.819181675418457e-06 591578.1098203385 1695.4252542506447 1.241814074696715 1659.5918864585915 1.6906605140869884e-10 5.80144411507521e-10 2.8787427267273222e-09 0.426847873545768 1.0897909783922035e-09 1.923523369333235e-10 3.684787541971411e-08 5.2344901071734825e-15 1.3603595690071872e-10 3.3402194991141717e-12 6.747235942071125e-10 5.439140167775633e-13 5.072793477722799e-09 1.1403342373412633e-10 1.219697582237265e-09 4.412479567396252e-09 9.280562988311909e-14 4.035614907679587e-09 2.3974459526963867e-08 0.09979612687143026 3.188810720108375e-10 7.566206960132063e-09 3.919218335649422e-11 0.4733559102567295
4.3517487824686205e-06 591578.1114868401 1695.425222071858 1.2418140959881596 1659.5918912553607 2.2508420522498108e-10 6.897338596003746e-10 3.562102462645363e-09 0.4268478644447329 1.436363436052325e-09 2.89601571099622e-10 4.249915699143902e-08 6.678642666619677e-15 1.8528742479316242e-10 4.6920961411073936e-12 9.640260506497986e-10 8.902156884651605e-13 6.6679985309379934e-09 1.7445506020061702e-10 1.4802203789509856e-09 5.632264398387724e-09 1.4461013183733062e-13 5.078475737862429e-09 2.617522662881539e-08 0.09979612026631707 3.9563772646649945e-10 9.521424069492786e-09 4.942855146378339e-11 0.4733559102567295
4.484890557825431e-06 591578.1118894678 1695.4252141424295 1.241814101132185 1659.591892414263 2.4047560997051775e-10 7.176706773695674e-10 3.738924019805134e-09 0.42684786208564507 1.5304874399809084e-09 3.182743072034421e-10 4.393518895744832e-08 7.05796821145914e-15 1.9872960061574122e-10 5.065889627043754e-12 1.0462358821833593e-09 9.971042027091604e-13 7.102432227971154e-09 1.923471272120166e-10 1.5468243694182224e-09 5.957807185120536e-09 1.6001472394243148e-13 5.3531708247670555e-09 2.6701126469869348e-08 0.09979611856769761 4.155589972050308e-10 1.0036438645691585e-08 5.2005575795884345e-11 0.4733559102567295
4.618032332634411e-06 591578.112286426 1695.4252062604396 1.2418141062037773 1659.5918935568466 2.564272235935018e-10 7.458030496970587e-10 3.917948030292335e-09 0.42684785969317907 1.6275663290242387e-09 3.4879860996544457e-10 4.53806184973357e-08 7.444187544399094e-15 2.1260783373424515e-10 5.453587704735393e-12 1.1326412171684745e-09 1.1129031074699129e-12 7.551446813351743e-09 2.1141706591796866e-10 1.6139654331297337e-09 6.291497528979945e-09 1.764477236026375e-13 5.6332870098776635e-09 2.7218119803746262e-08 0.09979611684966504 4.357531651288938e-10 1.0561617087510669e-08 5.4161469574305656e-11 0.4733559102567295
4.751174106903519e-06 591578.112677704 1695.4251984271814 1.2418141112027965 1659.5918946830802 2.7294204755604315e-10 7.741198576776905e-10 4.0990701171367e-09 0.42684785726741836 1.727579770491267e-09 3.812331887322444e-10 4.683550860992024e-08 7.837054998753368e-15 2.2691370982227436e-10 5.854963247535501e-12 1.2230721663222245e-09 1.2380752670066502e-12 8.014659460148471e-09 2.3169931741840866e-10 1.6816138658877113e-09 6.633285411175927e-09 1.9394419699581273e-13 5.918730519524373e-09 2.7726651183346567e-08 0.09979611511195786 4.562092831320091e-10 1.1096783461871171e-08 5.652759375530583e-11 0.4733559102567295
4.884315880640575e-06 591578.1130632784 1695.425190643645 1.2418141161289473 1659.5918957928973 2.9002283646598186e-10 8.026109786115365e-10 4.282194349213636e-09 0.4268478548084384 1.8305066021992783e-09 4.15634720761427e-10 4.829991666597104e-08 8.23635901533951e-15 2.416388462994101e-10 6.269784837364893e-12 1.3175011776179568e-09 1.373064030834255e-12 8.491958032785346e-09 2.5322650714241185e-10 1.7497431150701699e-09 6.983125508261643e-09 2.1253280039848217e-13 6.209415431480244e-09 2.8227131999642848e-08 0.09979611335433171 4.769172847064582e-10 1.1641776633530368e-08 5.931619188393099e-11 0.4733559102567295
4.9642428320356594e-06 591578.113291984 1695.4251859951291 1.24181411905092 1659.5918964511911 3.0054968374381566e-10 8.197941746355505e-10 4.393048367196248e-09 0.4268478533163509 1.893684877211685e-09 4.372557423345764e-10 4.918361779448032e-08 8.4790700292405e-15 2.506762255669084e-10 6.525162374231129e-12 1.3762149897177888e-09 1.4589965303750024e-12 8.785426171638477e-09 2.6676150285624574e-10 1.790862259273701e-09 7.19698884708223e-09 2.2422477260852064e-13 6.38639990037936e-09 2.852388272735504e-08 0.09979611228953225 4.894654082790883e-10 1.1973597526523079e-08 6.094438934463915e-11 0.4733559102567295
5.044169783243529e-06 591578.1135186099 1695.4251813648339 1.2418141219463228 1659.5918971034992 3.112819769423534e-10 8.370347768026771e-10 4.504572014255315e-09 0.4268478518123318 1.9579000509247487e-09 4.596179763933825e-10 5.0070779724950014e-08 8.723984990250651e-15 2.598597213374816e-10 6.785244864682615e-12 1.4364740844701096e-09 1.5487126606222464e-12 9.084132445150861e-09 2.8076344195426434e-10 1.8321407118986356e-09 7.413729886846774e-09 2.3632237034014946e-13 6.565226921303028e-09 2.881795652149372e-08 0.09979611121741983 5.020988563565765e-10 1.2308872950918754e-08 6.249790045601001e-11 0.4733559102567295
5.124096734265897e-06 591578.1137431528 1695.4251767529865 1.2418141248151142 1659.5918977498118 3.222202437391455e-10 8.543308762824536e-10 4.616746814303734e-09 0.42684785029639505 2.0231470295079535e-09 4.827334525643405e-10 5.09614133194686e-08 8.971062953074199e-15 2.6918744152759e-10 7.049977966635358e-12 1.498253890630492e-09 1.6423127572357063e-12 9.388019521253495e-09 2.9523901791540196e-10 1.873573589910356e-09 7.633340161440382e-09 2.4883191974252476e-13 6.745880047044852e-09 2.910943378170983e-08 0.09979611013794572 5.148156881240677e-10 1.2647572051830778e-08 6.407278628013563e-11 0.4733559102567295
5.204027406834205e-06 591578.1139656174 1695.4251721595467 1.2418141276573502 1659.5918983901418 3.333655201527249e-10 8.71681437564895e-10 4.729560084262645e-09 0.4268478487684826 2.089423717884143e-09 5.066152680133093e-10 5.185557082863962e-08 9.22027575788269e-15 2.7865792682259545e-10 7.319319233345174e-12 1.5615624540158637e-09 1.739899057592601e-12 9.697100153442491e-09 3.1019553936811007e-10 1.9151581373058833e-09 7.855821936202283e-09 2.617593084431082e-13 6.928351864029046e-09 2.9398406303540834e-08 0.09979610905101145 5.276146152891347e-10 1.2989680926977697e-08 6.567962292711844e-11 0.4733559102567295
5.28395807922043e-06 591578.1141859861 1695.425167584878 1.2418141304728105 1659.5918990244395 3.4471779902577076e-10 8.890838741813443e-10 4.842989176737327e-09 0.4268478472286775 2.1567217923900084e-09 5.312742689045086e-10 5.275322107681e-08 9.471573272356104e-15 2.8826883319565445e-10 7.593200679651476e-12 1.6264108463605201e-09 1.8415644536320558e-12 1.0011375407117626e-08 3.256388523323912e-10 1.9568879115661605e-09 8.081157191078449e-09 2.7510884835256997e-13 7.112618532845766e-09 2.968493690935788e-08 0.09979610795662033 5.404932146831002e-10 1.3335154882764075e-08 6.730280252476613e-11 0.4733559102567295
5.3638887514263e-06 591578.1144042526 1695.425163029126 1.2418141332614137 1659.5918996526864 3.56277563312031e-10 9.065364642853433e-10 4.957017152225434e-09 0.42684784567699213 2.2250358465578437e-09 5.567222951634619e-10 5.3654373966009414e-08 9.724917961974244e-15 2.9801824070122105e-10 7.871565965656269e-12 1.6928095940360821e-09 1.947406990908616e-12 1.0330854430335295e-08 3.41575373019455e-10 1.9987585672094775e-09 8.309338358791963e-09 2.888854209271002e-13 7.298665054487838e-09 2.996910015380125e-08 0.0997961068547265 5.534497052718258e-10 1.3683965798416807e-08 6.893580839579808e-11 0.4733559102567295
5.600924580934292e-06 591578.1150390942 1695.425149632036 1.241814141372236 1659.5919014799808 3.917835547447118e-10 9.585686066631023e-10 5.2985042383874975e-09 0.42684784100571693 2.4335311327691156e-09 6.369647674888456e-10 5.6347462653626477e-08 1.0487837298820747e-14 3.277221679926492e-10 8.722759809060841e-12 1.898924746454679e-09 2.2870039415426345e-12 1.1308931422702687e-08 3.9180808348946554e-10 2.123708219440881e-09 9.00266573322588e-09 3.3230634593024083e-13 7.860690398055954e-09 3.079869792812074e-08 0.09979610354241131 5.923108019076541e-10 1.473768374684609e-08 7.383158347929618e-11 0.4733559102567295
5.837960408916902e-06 591578.1156552373 1695.4251364065371 1.2418141492441634 1659.5919032534546 4.291296944051373e-10 1.0109876262708967e-09 5.644716110183822e-09 0.4268478362303365 2.6507639748937727e-09 7.24552069646323e-10 5.907167047110424e-08 1.1267556241930195e-14 3.585769203063507e-10 9.611380394693066e-12 2.1189425922643514e-09 2.66681565345177e-12 1.2332942762767021e-08 4.465923760925113e-10 2.2497614004553624e-09 9.72078565932066e-09 3.796449472437668e-13 8.437891250020908e-09 3.160989023221705e-08 0.0997961001626051 6.317998513544586e-10 1.5819853484626398e-08 7.880339198121537e-11 0.4733559102567295
6.074996235419919e-06 591578.1162525272 1695.4251233563534 1.241814156875219 1659.591904972662 4.683266245184926e-10 1.0637569617020227e-09 5.995280852207817e-09 0.4268478313510929 2.8765816606106317e-09 8.197822908268383e-10 6.182721445388386e-08 1.2063258543002568e-14 3.90532514662908e-10 1.0535915319132365e-11 2.3530476287857326e-09 3.0894798562025813e-12 1.3403010725004438e-08 5.060813258771301e-10 2.3768273281574554e-09 1.0463541843828396e-08 4.3101513610776717e-13 9.029942428443603e-09 3.2404354051380453e-08 0.09979609671424002 6.718776582627351e-10 1.6929865315470857e-08 8.384551911595687e-11 0.4733559102567295
6.704010384195452e-06 591578.1177450954 1695.4250895989776 1.2418141759444705 1659.591909268791 5.813798757719965e-10 1.2052716186100337e-09 6.9444028444469176e-09 0.42684781790099646 3.5163291950626964e-09 1.1115682394194066e-09 6.92927539352223e-08 1.4247296997740276e-14 4.803253692786807e-10 1.315284740564464e-11 3.0436946221376677e-09 4.437672964375976e-12 1.6466677145916408e-08 6.877470654666123e-10 2.7183953173400778e-09 1.2553108797390536e-08 5.875982474745112e-13 1.0671087990141074e-08 3.444192281363427e-08 0.09979608722421765 7.808460361434041e-10 2.000677906781377e-08 9.757415575174898e-11 0.4733559102567295
