"X" "Pressure" "Temperature" "Density" "Velocity" "H2" "H" "O2" "O" "OH" "HO2" "H2O" "CH3" "CH4" "CO" "CO2" "CH2O" "N2" 
1.4582580255141509e-06 682803.1268230225 1499.3638464748112 1.5135262844167434 1489.7424441398941 3.983397750921363e-12 6.698869282471445e-12 0.22014122075857856 1.9521302605378886e-12 2.029098483046158e-12 1.7457201426776548e-08 7.313151780755373e-14 8.113291195059804e-09 0.05518665732505299 2.825157839363756e-19 1.5365764224422998e-27 1.186618386094102e-13 0.7246720963310207
1.6119030164217952e-06 682803.1277587797 1499.3638376887511 1.5135262953215187 1489.742446250465 4.778578606008439e-12 7.204962716805997e-12 0.22014121897460187 2.3399656022023014e-12 2.428700251892515e-12 1.929655242898676e-08 9.724371716296117e-14 8.970934753010922e-09 0.05518665640989583 3.916799638392146e-19 2.3483454407241475e-27 1.4508778247921121e-13 0.7246720963310207
1.7655480062224397e-06 682803.1286945463 1499.3638289026067 1.5135263062264046 1489.7424483610575 5.62991181349385e-12 7.681367683668793e-12 0.22014121719056956 2.7546438565984523e-12 2.8549421359806933e-12 2.113590172340605e-08 1.2582925339650667e-13 9.829000598657279e-09 0.05518665549428665 5.275965906676017e-19 3.4564637918980716e-27 1.7418868087506495e-13 0.7246720963310207
1.9191929949160733e-06 682803.1296303221 1499.3638201163724 1.5135263171313986 1489.742450471671 6.534106029691141e-12 8.129872805503245e-12 0.22014121540648615 3.194484082291818e-12 3.305958547927753e-12 2.297524792121636e-08 1.5916641378931365e-13 1.068746449536085e-08 0.05518665457825129 6.9373235652952805e-19 4.930005689240242e-27 2.05969655890675e-13 0.7246720963310207
2.0728379825026867e-06 682803.1305661072 1499.3638113300342 1.513526328036499 1489.7424525823048 7.488068242205885e-12 8.552158932588715e-12 0.2201412136223559 3.657906838859287e-12 3.779998877776121e-12 2.481458971699627e-08 1.975139075235865e-13 1.154630366425917e-08 0.055186653661814064 8.93661970393289e-19 6.84659945750752e-27 2.404357600007699e-13 0.7246720963310207
2.226482968982267e-06 682803.1315019011 1499.3638025436048 1.5135263389417037 1489.7424546929587 8.488891802963313e-12 8.949805645821447e-12 0.22014121183818278 4.143428061786958e-12 4.275420530187004e-12 2.665392588368883e-08 2.4111207469237465e-13 1.240549669632938e-08 0.05518665274499781 1.13105870937886e-18 9.2926822793746e-27 2.775919801929154e-13 0.7246720963310207
2.386807152641325e-06 682803.132478385 1499.363793375121 1.5135263503210845 1489.7424568953875 9.580231666853809e-12 9.340073830666934e-12 0.22014120997640713 4.672108785949549e-12 4.813508971181409e-12 2.857321374774647e-08 2.9244466329090213e-13 1.330239577464274e-08 0.05518665178794518 1.4227923125931563e-18 1.2512994228417591e-26 3.192368420961562e-13 0.7246720963310207
2.5471313350949854e-06 682803.1334548781 1499.3637842065348 1.5135263617005754 1489.7424590978374 1.0716710140939463e-11 9.706712272669828e-12 0.22014120811459292 5.2218467102002765e-12 5.3715603721383024e-12 3.049249299707303e-08 3.4997190177334297e-13 1.4199636791719684e-08 0.05518665083052611 1.763789700320227e-18 1.6533092708414062e-26 3.6382168262264496e-13 0.7246720963310207
2.7074555163432384e-06 682803.1344313808 1499.3637750378452 1.5135263730801738 1489.7424613003082 1.1895597358348597e-11 1.0051204507558155e-11 0.22014120625274394 5.791248709904072e-12 5.9480401567885225e-12 3.241176247828728e-08 4.1391060627890684e-13 1.5097199632079646e-08 0.055186649872762054 2.1585089793732506e-18 2.1483412066926504e-26 4.113519661793511e-13 0.7246720963310207
2.8677796963860737e-06 682803.1354078922 1499.3637658690552 1.5135263844598787 1489.7424635027994 1.311433485417128e-11 1.0374940932112141e-11 0.22014120439086363 6.379009375940382e-12 6.5415129829533725e-12 3.4331021110080496e-08 4.84460817598249e-13 1.599506544020568e-08 0.05518664891467315 2.6114877157356553e-18 2.750580973508265e-26 4.618330966718571e-13 0.7246720963310207
